who,color,hierarchy,polity,degree,clustering-coeff,resources,innovation
237,135,12,(turtle 186),16,0.025,-2707162.7799745696,9
554,135,11,(turtle 186),21,0.019047619047619,-795526.0112940847,7
301,135,7,(turtle 186),9,0.0277777777777777,-29080.040840026828,11
221,135,4,(turtle 186),18,0.0065359477124183,-113413.6977250462,9
137,135,10,(turtle 186),13,0.0,-388919.632099006,12
352,135,9,(turtle 186),13,0.0,-765783.6329034253,11
753,135,9,(turtle 186),16,0.0083333333333333,-229148.6680833643,8
641,135,11,(turtle 186),17,0.0147058823529411,-16606834.10742458,9
192,135,11,(turtle 186),17,0.0147058823529411,-2621061.437302234,9
833,135,7,(turtle 186),12,0.0,-90221.5890498948,10
820,135,0,(turtle 186),37,0.0135135135135135,-541970546.3709078,0
201,135,13,(turtle 186),25,0.01,-5617564.54716338,5
877,135,11,(turtle 186),16,0.0166666666666666,-705712.2307020634,8
836,135,9,(turtle 186),12,0.0,-71427.97671324469,15
915,135,8,(turtle 186),26,0.0153846153846153,-2806187.1228927444,6
152,135,14,(turtle 186),21,0.0285714285714285,-13229145.421348495,12
597,135,5,(turtle 186),19,0.0,-1308327.226089633,8
795,135,8,(turtle 186),19,0.023391812865497,-1237328.9732927252,8
551,135,5,(turtle 186),18,0.0196078431372549,-233614.8160203465,11
803,135,4,(turtle 186),5,0.0,1.7571351872954089,8
811,135,6,(turtle 186),11,0.0,-357200.71570087137,19
858,135,4,(turtle 186),7,0.0,-84580.5855493172,10
378,135,5,(turtle 186),17,0.0220588235294117,-5741717.463634612,11
685,135,3,(turtle 186),6,0.0,-18.481402425860523,14
542,135,1,(turtle 186),16,0.0166666666666666,-677525.1501835727,9
303,135,9,(turtle 186),12,0.0,-387323.9657531028,9
54,135,11,(turtle 186),19,0.0,-21117738.029383123,12
276,135,7,(turtle 186),11,0.0363636363636363,-292423.8144617744,8
676,135,10,(turtle 186),15,0.0285714285714285,-594337.704333581,15
900,135,6,(turtle 186),9,0.0,-82691.47694039751,14
621,135,6,(turtle 186),15,0.0,-35963.217500911785,9
160,135,9,(turtle 186),15,0.019047619047619,-599506.5301538795,14
865,135,7,(turtle 186),28,0.0026455026455026,-650660.6964044616,7
182,135,4,(turtle 186),6,0.0,-330669.4459359651,11
310,135,7,(turtle 186),10,0.0,-83342.04098264239,10
94,135,9,(turtle 186),25,0.0166666666666666,-144270.9244851729,9
396,135,9,(turtle 186),12,0.0303030303030303,-122348.4419356422,11
430,135,9,(turtle 186),15,0.0285714285714285,-11787.461185216664,9
18,135,5,(turtle 186),18,0.0130718954248366,-1469435.8048816205,7
58,135,13,(turtle 186),15,0.0285714285714285,-3509845.5096928943,16
671,135,7,(turtle 186),14,0.0,111.57783216070116,14
636,135,0,(turtle 186),36,0.0158730158730158,-1172852446.4131594,0
110,135,3,(turtle 186),10,0.0,-300832.31113452185,11
16,135,5,(turtle 186),16,0.0416666666666666,-75.33182692241965,11
426,135,4,(turtle 186),7,0.0476190476190476,5.530281583834559,13
176,135,9,(turtle 186),11,0.0181818181818181,-374438.8859993946,9
368,135,9,(turtle 186),16,0.0166666666666666,-943458.7592405196,7
539,135,8,(turtle 186),13,0.0,-372160.8914219143,8
180,135,11,(turtle 186),20,0.0210526315789473,-1091285.9377985897,12
648,135,6,(turtle 186),11,0.0,-341677.32183644985,11
163,135,7,(turtle 186),18,0.0130718954248366,-1120523.0107927988,8
501,135,8,(turtle 186),8,0.0,-408832.9149609775,11
942,135,11,(turtle 186),22,0.0216450216450216,-2331868.887304106,6
353,135,8,(turtle 186),13,0.0,-1070939.3608498652,8
360,135,10,(turtle 186),17,0.0220588235294117,-212725.90096200584,13
752,135,4,(turtle 186),9,0.0,7.380556673857225,13
714,135,4,(turtle 186),31,0.0172043010752688,-2376691.9599755867,0
667,135,6,(turtle 186),10,0.0222222222222222,-101077.51411418631,8
331,135,5,(turtle 186),10,0.0,-49926.27430766322,12
157,135,11,(turtle 186),18,0.0261437908496732,-647414.1688280582,12
890,135,1,(turtle 186),22,0.0173160173160173,-2842423.935043869,8
882,135,5,(turtle 186),14,0.0109890109890109,-802300.5315364371,10
563,135,0,(turtle 186),15,0.0095238095238095,-2141628.3714995114,9
661,135,10,(turtle 186),14,0.0219780219780219,-227588.11597636883,9
407,135,3,(turtle 186),6,0.0,-152.3801528128159,10
777,135,5,(turtle 186),12,0.0151515151515151,-13214.23590866284,11
390,135,4,(turtle 186),11,0.0,-9086.225533434475,8
965,135,11,(turtle 186),24,0.0181159420289855,-762847.2776186585,7
815,135,8,(turtle 186),13,0.0128205128205128,-332510.4564482345,12
901,135,7,(turtle 186),17,0.0073529411764705,-20836.12195076439,6
723,135,7,(turtle 186),13,0.0,-218844.4981804284,11
132,135,5,(turtle 186),9,0.0,3.457887707592757,14
522,135,4,(turtle 186),11,0.0,7.393303822724916,18
502,135,8,(turtle 186),19,0.0058479532163742,-186370.94346072795,8
239,135,14,(turtle 186),18,0.0130718954248366,-3147925.5064102733,9
524,135,7,(turtle 186),17,0.0220588235294117,-454997.1809535311,13
925,135,13,(turtle 186),20,0.031578947368421,-41951186.08087228,13
775,135,7,(turtle 186),11,0.0363636363636363,-174711.44443356578,10
392,135,10,(turtle 186),15,0.0095238095238095,-1552840.5175773771,14
936,135,7,(turtle 186),11,0.0181818181818181,-145530.5581325011,11
240,135,6,(turtle 186),14,0.0109890109890109,-102029.41408640974,17
139,135,6,(turtle 186),10,0.0444444444444444,-16984.46577613028,13
63,135,9,(turtle 186),17,0.0073529411764705,-1449932.619532998,9
463,135,4,(turtle 186),15,0.0,389.9915904553472,15
809,135,9,(turtle 186),14,0.0329670329670329,-307223.5479892508,8
838,135,9,(turtle 186),11,0.0,-134738.37742738047,12
773,135,11,(turtle 186),23,0.0079051383399209,-390202.9689170322,11
930,135,6,(turtle 186),15,0.0,-35139.51305348296,10
17,135,12,(turtle 186),15,0.0095238095238095,-2840320.781828936,10
59,135,9,(turtle 186),15,0.0095238095238095,-1195441.493951344,12
947,135,11,(turtle 186),15,0.0095238095238095,-549896.8589494068,6
914,135,10,(turtle 186),17,0.0073529411764705,-377718.9107714284,10
338,135,6,(turtle 186),22,0.0129870129870129,-15308.39679059745,7
330,135,6,(turtle 186),10,0.0444444444444444,-600351.4796684687,15
689,135,5,(turtle 186),12,0.0151515151515151,-214067.97136175644,11
517,135,6,(turtle 186),10,0.0,-8677.350278452535,15
85,135,13,(turtle 186),18,0.0196078431372549,-6733133.961407921,10
320,135,7,(turtle 186),10,0.0,-542726.718582767,12
205,135,11,(turtle 186),16,0.0083333333333333,-732228.2890017051,6
863,135,6,(turtle 186),26,0.0153846153846153,-1661583.6078107434,7
631,135,11,(turtle 186),16,0.0166666666666666,-981308.3489187108,7
656,135,9,(turtle 186),16,0.0083333333333333,-963817.9468698142,8
574,135,8,(turtle 186),14,0.0109890109890109,-1021748.3050656818,11
45,135,3,(turtle 186),7,0.0476190476190476,-175087.47839681245,11
612,135,8,(turtle 186),18,0.0196078431372549,-77944.93638852195,10
704,135,7,(turtle 186),13,0.0,-217807.8964433667,10
243,135,2,(turtle 186),7,0.0476190476190476,4.247421914887069,18
857,135,7,(turtle 186),13,0.0256410256410256,-652208.0468477596,16
427,135,9,(turtle 186),13,0.0384615384615384,-634016.4510309099,13
783,135,9,(turtle 186),15,0.0095238095238095,-703821.8213398472,11
518,135,3,(turtle 186),10,0.0222222222222222,6.03977530642632,16
994,135,7,(turtle 186),11,0.0,-268745.7668966705,8
483,135,10,(turtle 186),16,0.0416666666666666,-799411.6958698737,8
548,135,11,(turtle 186),15,0.0285714285714285,-482134.8698010149,6
300,135,10,(turtle 186),11,0.0545454545454545,-327902.88432427694,10
120,135,8,(turtle 186),16,0.0166666666666666,-961888.0676896492,11
451,135,8,(turtle 186),15,0.0095238095238095,-1183080.167085183,16
950,135,6,(turtle 186),12,0.0303030303030303,-8084.687223058094,7
732,135,8,(turtle 186),16,0.025,-985137.449842312,8
217,135,2,(turtle 186),9,0.0,25.58646069961258,14
674,135,8,(turtle 186),12,0.0,-300874.8760221359,10
83,135,8,(turtle 186),14,0.0109890109890109,-289902.2820847853,15
905,135,7,(turtle 186),13,0.0128205128205128,-370334.4239498474,14
314,135,4,(turtle 186),8,0.0,5.067348259948257,13
528,135,6,(turtle 186),13,0.0128205128205128,-189296.67861851305,8
727,135,7,(turtle 186),16,0.0083333333333333,-262137.4084205032,9
912,135,4,(turtle 186),7,0.0,6.75185992765387,12
875,135,12,(turtle 186),22,0.0216450216450216,-2279172.7784161703,6
145,135,7,(turtle 186),15,0.0095238095238095,-451233.55677157495,6
603,135,10,(turtle 186),23,0.0237154150197628,-194442.39863391835,8
922,135,12,(turtle 186),17,0.0294117647058823,-812571.5442800652,9
334,135,10,(turtle 186),18,0.0130718954248366,-289101.5329228042,7
486,135,10,(turtle 186),22,0.0259740259740259,-919161.6576843442,7
397,135,2,(turtle 186),11,0.0181818181818181,-28923.67048825433,9
626,135,8,(turtle 186),17,0.0220588235294117,-27775.44265162988,11
927,135,11,(turtle 186),23,0.0158102766798418,-539181.7041664963,15
489,135,3,(turtle 186),13,0.0,3.645924688481825,15
93,135,10,(turtle 186),17,0.0220588235294117,-152630.7986182614,13
817,135,5,(turtle 186),14,0.0219780219780219,5.4544377455576605,12
695,135,6,(turtle 186),14,0.0109890109890109,-22577.941064009505,18
825,135,10,(turtle 186),15,0.019047619047619,-329829.39417338814,11
208,135,5,(turtle 186),9,0.0,-68155.46749018374,10
333,135,5,(turtle 186),5,0.0,-56605.86340293844,10
391,135,12,(turtle 186),21,0.0333333333333333,-2775416.380828901,15
215,135,4,(turtle 186),12,0.0,-794.9081968665195,7
467,135,6,(turtle 186),11,0.0,-291957.49642112845,12
568,135,3,(turtle 186),10,0.0222222222222222,-159622.98951445238,9
445,135,11,(turtle 186),23,0.0158102766798418,-1295698.0345412325,13
602,135,12,(turtle 186),16,0.025,-1325812.242250305,10
668,135,13,(turtle 186),18,0.0130718954248366,-1788938.9250936017,11
474,135,11,(turtle 186),13,0.0,-1858284.647546301,7
174,135,12,(turtle 186),26,0.0123076923076923,-4990717.426507511,6
466,135,3,(turtle 186),18,0.0326797385620915,-828900.3049286107,7
251,135,5,(turtle 186),10,0.0,-377368.2423775889,9
866,135,3,(turtle 186),11,0.0,2.985247879699789,11
988,135,10,(turtle 186),12,0.0303030303030303,-389796.0909251408,10
171,135,7,(turtle 186),15,0.0,-43107.0762657945,6
968,135,8,(turtle 186),12,0.0303030303030303,-1573103.3492935973,11
993,135,0,(turtle 186),22,0.0129870129870129,-15543683.592057148,6
941,135,11,(turtle 186),24,0.0036231884057971,-435307.3476136967,6
983,135,3,(turtle 186),15,0.0380952380952381,-47078.29667842509,5
122,135,7,(turtle 186),17,0.0147058823529411,-179532.45615056437,6
622,135,1,(turtle 186),13,0.0256410256410256,-15413.231122107763,7
354,135,5,(turtle 186),14,0.0219780219780219,-42872.09505366968,8
452,135,6,(turtle 186),17,0.0147058823529411,-852036.0891557519,11
788,135,10,(turtle 186),15,0.0285714285714285,-387187.201184103,11
874,135,6,(turtle 186),9,0.0555555555555555,8.596672561470113,12
673,135,3,(turtle 186),23,0.0197628458498023,-55336.24097238983,7
438,135,7,(turtle 186),16,0.0083333333333333,-604192.3301941177,10
364,135,9,(turtle 186),15,0.0095238095238095,-57726.68072891862,8
919,135,4,(turtle 186),11,0.0,6.553763842729232,14
346,135,12,(turtle 186),17,0.0147058823529411,-665287.9204147172,11
345,135,1,(turtle 186),19,0.0175438596491228,-9590097.766591342,8
151,135,1,(turtle 186),13,0.0256410256410256,-68671.01050163568,8
780,135,8,(turtle 186),13,0.0128205128205128,-121714.01806541775,11
21,135,4,(turtle 186),7,0.0,-7388.18785771115,13
249,135,5,(turtle 186),10,0.0222222222222222,-62832.66694256364,10
904,135,10,(turtle 186),14,0.0219780219780219,-974183.9615541168,10
593,135,10,(turtle 186),12,0.0151515151515151,-294919.6807537674,12
831,135,10,(turtle 186),13,0.0,-1090206.483796363,14
898,135,11,(turtle 186),17,0.0294117647058823,-538446.6877282026,12
588,135,6,(turtle 186),10,0.0,-249576.40453548756,8
767,135,8,(turtle 186),11,0.0,-152480.8447232559,8
79,135,7,(turtle 186),13,0.0,-487748.5715682628,9
598,135,5,(turtle 186),13,0.0128205128205128,-100507.55328090151,14
31,135,6,(turtle 186),10,0.0666666666666666,-2943.2649410474887,11
776,135,4,(turtle 186),19,0.023391812865497,-213040.5745936929,6
711,135,6,(turtle 186),12,0.0,-50906.1431771448,13
358,135,10,(turtle 186),17,0.0,-449148.3159222364,16
247,135,11,(turtle 186),16,0.0,-616519.9061442631,13
6,135,10,(turtle 186),16,0.0083333333333333,-174223.10231812744,11
758,135,6,(turtle 186),14,0.0219780219780219,-114987.72735458054,14
808,135,5,(turtle 186),20,0.0,-6177964.022685918,9
506,135,6,(turtle 186),10,0.0222222222222222,-6285.727286862373,16
112,135,5,(turtle 186),7,0.0,-40424.50249418363,11
569,135,7,(turtle 186),14,0.0439560439560439,-873482.7692611904,10
383,135,4,(turtle 186),17,0.0073529411764705,-499221.8179720701,7
409,135,4,(turtle 186),10,0.0222222222222222,-203276.54011579943,17
564,135,10,(turtle 186),19,0.023391812865497,-350795.9542335571,10
