who,color,hierarchy,polity,degree,clustering-coeff,resources
697,105,0,(turtle 317),10,0.0888888888888888,4659023364288.393
503,105,0,(turtle 317),17,0.0294117647058823,2764314862835.019
520,105,0,(turtle 317),13,0.0384615384615384,3772784880750.9263
570,105,0,(turtle 317),15,0.0,3194652469436.583
556,105,0,(turtle 317),12,0.0909090909090909,2775441059045.0776
603,105,0,(turtle 317),15,0.0380952380952381,2595746414630.156
826,105,0,(turtle 317),14,0.0879120879120879,1590356005796.4077
70,105,85,(turtle 317),86,0.0196990424076607,1526112500.0677414
455,105,0,(turtle 317),16,0.0416666666666666,3155405436359.994
300,105,0,(turtle 317),16,0.05,3666700666285.3135
850,105,0,(turtle 317),10,0.1111111111111111,2669404200199.694
190,105,0,(turtle 317),17,0.0441176470588235,2432582847755.9087
598,105,2,(turtle 317),12,0.106060606060606,306956019.1916772
40,105,0,(turtle 317),20,0.0578947368421052,3108747374442.348
781,105,126,(turtle 317),128,0.014886811023622,56188358777.20787
960,105,0,(turtle 317),24,0.0833333333333333,3066077535942.5493
356,105,0,(turtle 317),14,0.0329670329670329,2354948658134.3887
557,105,0,(turtle 317),19,0.087719298245614,3030421780189.156
130,105,0,(turtle 317),24,0.0615942028985507,5469723847634.721
57,105,0,(turtle 317),19,0.0701754385964912,1901878949844.4453
173,105,0,(turtle 317),18,0.0392156862745098,2541052891418.0405
712,105,1,(turtle 317),11,0.0727272727272727,184422496.05487376
915,105,26,(turtle 317),31,0.0494623655913978,954156903.734552
352,105,0,(turtle 317),18,0.065359477124183,3600467087417.3574
819,105,0,(turtle 317),21,0.0904761904761904,2386781474997.0947
654,105,0,(turtle 317),13,0.0641025641025641,2479573622381.967
797,105,0,(turtle 317),13,0.0128205128205128,3265229921052.665
452,105,0,(turtle 317),15,0.0380952380952381,4370971843705.182
319,105,0,(turtle 317),12,0.0151515151515151,4107244149260.635
90,105,0,(turtle 317),18,0.065359477124183,1714905674956.0989
428,105,0,(turtle 317),13,0.0512820512820512,2664172622257.3423
735,105,68,(turtle 317),71,0.0217303822937625,1086617603.1204114
588,105,0,(turtle 317),12,0.0454545454545454,4957672833000.408
381,105,137,(turtle 317),133,0.0145819093187514,59316512039078.84
579,105,0,(turtle 317),23,0.1067193675889328,6086542834103.528
498,105,0,(turtle 317),38,0.0497866287339971,7622764686084.975
858,105,0,(turtle 317),14,0.0659340659340659,3166075629555.2617
875,105,112,(turtle 317),108,0.0105572862582208,6538346931.731001
967,105,1,(turtle 317),14,0.0659340659340659,330165414.76717126
91,105,0,(turtle 317),21,0.0380952380952381,2969615257386.4595
994,105,1,(turtle 317),16,0.0416666666666666,76175794.85901654
739,105,0,(turtle 317),12,0.0909090909090909,1433752820636.6536
634,105,0,(turtle 317),17,0.0588235294117647,2976663034551.7847
963,105,115,(turtle 317),110,0.0140116763969974,9544185202.69236
730,105,1,(turtle 317),12,0.106060606060606,30710882.456202388
92,105,0,(turtle 317),8,0.0714285714285714,1960296854654.6208
46,105,0,(turtle 317),18,0.065359477124183,3075003047683.952
134,105,0,(turtle 317),15,0.0476190476190476,2408137302541.477
673,105,17,(turtle 317),30,0.0620689655172413,472236450.5251787
19,105,0,(turtle 317),15,0.0380952380952381,4867488264171.922
491,105,0,(turtle 317),12,0.106060606060606,2336735058806.727
765,105,0,(turtle 317),13,0.0512820512820512,2972306829283.606
290,105,0,(turtle 317),15,0.0476190476190476,2269379782160.797
550,105,0,(turtle 317),10,0.1333333333333333,2441714871498.952
683,105,0,(turtle 317),16,0.05,3469337879310.5693
783,105,0,(turtle 317),6,0.0666666666666666,3963891857182.397
853,105,0,(turtle 317),14,0.0659340659340659,1397442013964.098
707,105,80,(turtle 317),79,0.0201233365790327,1625290984.9418173
933,105,6,(turtle 317),19,0.0935672514619883,249851639.5030168
700,105,0,(turtle 317),16,0.0416666666666666,2047625432623.1252
760,105,0,(turtle 317),13,0.0641025641025641,2387894217803.349
567,105,0,(turtle 317),9,0.0833333333333333,2740686617169.743
220,105,0,(turtle 317),14,0.0769230769230769,2271886860974.313
463,105,0,(turtle 317),15,0.0571428571428571,1776428716190.0696
140,105,0,(turtle 317),19,0.0467836257309941,2229089968910.2915
106,105,130,(turtle 317),122,0.0044709388971684,102770275092.8988
10,105,0,(turtle 317),15,0.0571428571428571,3973381350363.788
540,105,0,(turtle 317),16,0.0333333333333333,3030371314961.032
810,105,0,(turtle 317),15,0.0095238095238095,3798816085516.906
56,105,27,(turtle 317),36,0.0603174603174603,677060016.4821924
294,105,0,(turtle 317),14,0.0549450549450549,3219830092563.052
351,105,0,(turtle 317),19,0.0935672514619883,2297423095581.913
971,105,0,(turtle 317),12,0.0454545454545454,3574143278232.1167
370,105,18,(turtle 317),33,0.0719696969696969,331772925.9410782
715,105,97,(turtle 317),98,0.026930359772775,2290314438.999694
838,105,129,(turtle 317),131,0.0187903699354081,67721622016.6653
895,105,0,(turtle 317),16,0.0333333333333333,3242532732966.4805
951,105,0,(turtle 317),19,0.0643274853801169,2079020342073.758
414,105,0,(turtle 317),19,0.0760233918128654,3089755664153.9946
842,105,48,(turtle 317),53,0.048621190130624,1152007272.0012572
737,105,0,(turtle 317),22,0.0562770562770562,3695369584229.236
320,105,0,(turtle 317),17,0.0367647058823529,2697499353464.808
959,105,130,(turtle 317),125,0.016258064516129,104785890631.92809
613,105,0,(turtle 317),15,0.0761904761904762,3486832446878.3267
276,105,12,(turtle 317),20,0.0473684210526315,449969052.4149133
264,105,0,(turtle 317),13,0.0512820512820512,2044943274589.988
349,105,0,(turtle 317),14,0.0329670329670329,2366435195819.036
327,105,119,(turtle 317),114,0.0066759819903741,9243551610.043224
251,105,0,(turtle 317),20,0.0263157894736842,2936633229134.994
164,105,0,(turtle 317),13,0.0897435897435897,1664035419809.736
663,105,0,(turtle 317),22,0.0562770562770562,2379900147330.749
324,105,0,(turtle 317),14,0.0549450549450549,3515310193952.363
124,105,0,(turtle 317),18,0.0522875816993464,4260713251583.899
420,105,0,(turtle 317),13,0.0384615384615384,2224588333733.6074
374,105,0,(turtle 317),16,0.05,3439608634354.581
893,105,0,(turtle 317),17,0.0220588235294117,2742535427047.828
651,105,0,(turtle 317),14,0.0549450549450549,3396885106264.935
413,105,0,(turtle 317),12,0.0151515151515151,1854701354852.6455
680,105,0,(turtle 317),13,0.0512820512820512,3772787281420.098
537,105,122,(turtle 317),113,0.0158027812895069,15760524020.99513
63,105,0,(turtle 317),16,0.05,5263345322580.831
178,105,0,(turtle 317),9,0.0,2872245059232.0054
792,105,0,(turtle 317),16,0.0166666666666666,2018207758568.5427
538,105,34,(turtle 317),45,0.0585858585858585,1151407867.6441908
693,105,0,(turtle 317),14,0.0219780219780219,3485575378997.514
791,105,0,(turtle 317),17,0.1029411764705882,2250081652965.2803
530,105,19,(turtle 317),36,0.0619047619047619,735708403.2674506
44,105,134,(turtle 317),137,0.0104121940747101,583561314055.7285
217,105,0,(turtle 317),14,0.0549450549450549,2786071203450.9834
467,105,0,(turtle 317),20,0.0947368421052631,2178392971623.172
517,105,0,(turtle 317),9,0.1111111111111111,2718117000013.5664
914,105,0,(turtle 317),12,0.0757575757575757,4886369292018.669
742,105,0,(turtle 317),12,0.0757575757575757,3450432268191.0063
139,105,0,(turtle 317),15,0.0380952380952381,2475653479805.94
64,105,0,(turtle 317),13,0.0641025641025641,4804052391640.859
444,105,0,(turtle 317),12,0.0303030303030303,1420732074921.251
681,105,0,(turtle 317),13,0.0512820512820512,3003998581363.809
922,105,0,(turtle 317),14,0.0769230769230769,3138434255564.938
223,105,1,(turtle 317),16,0.075,111402964.18182091
256,105,120,(turtle 317),117,0.0157677571470674,10136377677.780325
975,105,0,(turtle 317),16,0.0416666666666666,2511552512286.82
504,105,98,(turtle 317),98,0.0128339995792131,2366682297.3856497
287,105,0,(turtle 317),10,0.0444444444444444,2121819464911.248
558,105,0,(turtle 317),16,0.0333333333333333,1625161313185.3235
496,105,0,(turtle 317),9,0.0555555555555555,2081727158918.4397
454,105,130,(turtle 317),122,0.0075870478254979,87585406945.4107
213,105,0,(turtle 317),15,0.0666666666666666,5585704902425.891
197,105,0,(turtle 317),11,0.0545454545454545,3866409800556.629
957,105,0,(turtle 317),10,0.0444444444444444,1682858434734.7014
159,105,0,(turtle 317),10,0.0888888888888888,2196686846085.728
899,105,0,(turtle 317),12,0.0454545454545454,1690101107103.0645
98,105,0,(turtle 317),14,0.0109890109890109,2251573837217.566
704,105,0,(turtle 317),15,0.0571428571428571,3405043696530.4355
560,105,0,(turtle 317),18,0.0326797385620915,2529141806455.9893
265,105,1,(turtle 317),16,0.0833333333333333,341818390.6840805
355,105,24,(turtle 317),34,0.0392156862745098,506215368.3242165
490,105,110,(turtle 317),107,0.0139305237171574,3925814225.915919
825,105,0,(turtle 317),13,0.0641025641025641,3275366479664.0503
738,105,0,(turtle 317),13,0.0897435897435897,4555435748331.297
941,105,0,(turtle 317),12,0.0606060606060606,2430134327490.43
691,105,0,(turtle 317),15,0.0476190476190476,3985898563647.702
502,105,0,(turtle 317),12,0.0303030303030303,2630303192072.026
405,105,0,(turtle 317),16,0.05,1899191836860.0383
5,105,2,(turtle 317),11,0.0909090909090909,223547014.9609474
938,105,106,(turtle 317),106,0.0212039532794249,5076826657.7898445
422,105,47,(turtle 317),52,0.0241327300150829,928494239.4383684
736,105,0,(turtle 317),12,0.0606060606060606,1781802497775.558
708,105,0,(turtle 317),12,0.0303030303030303,4494373749253.874
192,105,0,(turtle 317),8,0.0,2921441531148.516
512,105,0,(turtle 317),16,0.0416666666666666,3252241462893.717
568,105,0,(turtle 317),24,0.0615942028985507,5075602436099.652
372,105,111,(turtle 317),104,0.0233383121732636,5660251148.323665
788,105,0,(turtle 317),17,0.0441176470588235,3596748299555.028
387,105,0,(turtle 317),11,0.109090909090909,2960945744820.5767
908,105,0,(turtle 317),17,0.0588235294117647,3742513459734.6943
167,105,124,(turtle 317),116,0.0100449775112443,36706493458.372986
